case,n_F,AverageVel_x,AverageVel_y,AverageVel_z,LatticeViscosity,GradPx,Permeability_x,Permeability_y,Permeability_z
111,0.790219625000001,4.72744E-06,5.25851E-06,5.39657E-06,0.166667,2.51256E-07,3.13587,3.48814,3.57973
112,0.783071,4.54275E-06,4.03712E-06,4.87648E-06,0.166667,2.51256E-07,3.01336,2.67796,3.23473
113,0.787907875,4.69896E-06,4.75723E-06,5.69292E-06,0.166667,2.51256E-07,3.11698,3.15563,3.7763
114,0.790739125,4.3162E-06,4.74166E-06,5.91146E-06,0.166667,2.51256E-07,2.86308,3.1453,3.92127
115,0.7964295,4.26916E-06,5.10071E-06,5.81251E-06,0.166667,2.51256E-07,2.83188,3.38347,3.85563
116,0.796999125,4.5169E-06,4.98413E-06,5.70781E-06,0.166667,2.51256E-07,2.99621,3.30614,3.78618
117,0.797083125,4.6491E-06,4.927E-06,5.75052E-06,0.166667,2.51256E-07,3.0839,3.26824,3.81451
118,0.79475625,4.63447E-06,4.71723E-06,6.00422E-06,0.166667,2.51256E-07,3.0742,3.1291,3.9828
119,0.794552750000001,4.29278E-06,4.79159E-06,5.85419E-06,0.166667,2.51256E-07,2.84755,3.17842,3.88328
120,0.785712125,4.24383E-06,4.73285E-06,5.17069E-06,0.166667,2.51256E-07,2.81507,3.13946,3.42989
121,0.772034,3.57603E-06,3.80146E-06,4.75625E-06,0.166667,2.51256E-07,2.3721,2.52163,3.15498
122,0.7868285,4.43809E-06,4.68743E-06,6.31566E-06,0.166667,2.51256E-07,2.94393,3.10933,4.18939
123,0.783182375,4.49785E-06,4.59096E-06,5.26183E-06,0.166667,2.51256E-07,2.98357,3.04534,3.49035
124,0.78718825,4.51201E-06,5.0345E-06,5.34238E-06,0.166667,2.51256E-07,2.99297,3.33955,3.54378
125,0.791944375,4.34957E-06,4.55717E-06,5.61088E-06,0.166667,2.51256E-07,2.88521,3.02292,3.72188
126,0.797870874999999,4.00425E-06,4.99465E-06,5.94613E-06,0.166667,2.51256E-07,2.65615,3.31312,3.94427
127,0.799384125,3.85847E-06,4.98222E-06,5.94893E-06,0.166667,2.51256E-07,2.55945,3.30487,3.94612
128,0.802537375,4.38796E-06,5.85495E-06,6.04402E-06,0.166667,2.51256E-07,2.91068,3.88379,4.0092
129,0.799437125,4.75125E-06,6.0374E-06,6.11288E-06,0.166667,2.51256E-07,3.15166,4.00481,4.05488
130,0.798098875000001,4.85655E-06,5.51442E-06,5.66971E-06,0.166667,2.51256E-07,3.22151,3.6579,3.7609
131,0.792071875,4.54557E-06,5.20974E-06,5.2893E-06,0.166667,2.51256E-07,3.01523,3.45579,3.50857
132,0.777383125,3.90829E-06,4.05518E-06,5.01943E-06,0.166667,2.51256E-07,2.5925,2.68994,3.32956
133,0.790214125,4.55834E-06,5.26617E-06,6.14202E-06,0.166667,2.51256E-07,3.0237,3.49323,4.07421
134,0.789358875,4.62377E-06,5.35073E-06,4.98217E-06,0.166667,2.51256E-07,3.0671,3.54932,3.30484
135,0.793011000000001,4.37066E-06,5.0478E-06,5.26152E-06,0.166667,2.51256E-07,2.8992,3.34837,3.49014
136,0.792939,3.96612E-06,4.54171E-06,5.27826E-06,0.166667,2.51256E-07,2.63086,3.01267,3.50125
137,0.795586,3.64581E-06,4.72571E-06,5.69328E-06,0.166667,2.51256E-07,2.41838,3.13472,3.77654
138,0.7971295,3.55812E-06,5.00523E-06,5.99028E-06,0.166667,2.51256E-07,2.36022,3.32013,3.97355
139,0.807095,4.28902E-06,8.46848E-06,6.55433E-06,0.166667,2.51256E-07,2.84505,5.61743,4.34771
140,0.805806875,4.71126E-06,8.31655E-06,6.6001E-06,0.166667,2.51256E-07,3.12514,5.51665,4.37807
141,0.803134125,4.89365E-06,6.88395E-06,5.8246E-06,0.166667,2.51256E-07,3.24612,4.56635,3.86365
142,0.793454375,4.43216E-06,5.04375E-06,5.3329E-06,0.166667,2.51256E-07,2.94,3.34568,3.53749
143,0.7825985,4.4494E-06,4.67874E-06,5.21616E-06,0.166667,2.51256E-07,2.95144,3.10356,3.46005
144,0.791984375,4.43856E-06,5.27421E-06,5.7297E-06,0.166667,2.51256E-07,2.94425,3.49856,3.8007
145,0.798784375,5.2441E-06,5.5757E-06,5.58833E-06,0.166667,2.51256E-07,3.47859,3.69855,3.70693
146,0.807261875,5.40005E-06,6.11652E-06,6.12059E-06,0.166667,2.51256E-07,3.58204,4.05729,4.05999
147,0.805699625,5.48402E-06,6.29516E-06,6.01464E-06,0.166667,2.51256E-07,3.63774,4.17579,3.98971
148,0.797489625,4.59063E-06,5.03887E-06,5.82874E-06,0.166667,2.51256E-07,3.04512,3.34245,3.8664
149,0.7998395,4.44577E-06,5.18872E-06,6.37798E-06,0.166667,2.51256E-07,2.94902,3.44185,4.23073
150,0.802377999999999,4.19939E-06,5.14779E-06,6.04101E-06,0.166667,2.51256E-07,2.78559,3.4147,4.0072
151,0.797159125,3.98414E-06,5.08872E-06,5.69592E-06,0.166667,2.51256E-07,2.64281,3.37552,3.7783
152,0.79953025,4.55643E-06,5.54959E-06,5.60232E-06,0.166667,2.51256E-07,3.02243,3.68123,3.7162
153,0.797462,4.88138E-06,5.87764E-06,5.34171E-06,0.166667,2.51256E-07,3.23798,3.89883,3.54333
154,0.78995525,4.74238E-06,5.64718E-06,5.46423E-06,0.166667,2.51256E-07,3.14578,3.74596,3.6246
155,0.80032375,5.14047E-06,5.80984E-06,6.02665E-06,0.166667,2.51256E-07,3.40984,3.85386,3.99768
156,0.80541925,5.44383E-06,7.33506E-06,6.08971E-06,0.166667,2.51256E-07,3.61107,4.86559,4.03951
157,0.81450225,6.03361E-06,8.11419E-06,6.33654E-06,0.166667,2.51256E-07,4.00229,5.38241,4.20324
158,0.81237125,6.23662E-06,7.56403E-06,6.64946E-06,0.166667,2.51256E-07,4.13696,5.01747,4.41081
159,0.800300875,5.12728E-06,4.99054E-06,6.42119E-06,0.166667,2.51256E-07,3.4011,3.31039,4.25939
160,0.79933875,4.76354E-06,5.31665E-06,6.01832E-06,0.166667,2.51256E-07,3.15981,3.52671,3.99215
161,0.79905675,4.48146E-06,5.31808E-06,5.65189E-06,0.166667,2.51256E-07,2.9727,3.52766,3.74909
162,0.79923775,4.50406E-06,5.59689E-06,6.625E-06,0.166667,2.51256E-07,2.98769,3.7126,4.39458
163,0.808129875,5.30996E-06,7.7624E-06,7.61931E-06,0.166667,2.51256E-07,3.52227,5.14906,5.05414
164,0.801203,5.55021E-06,8.04968E-06,5.84122E-06,0.166667,2.51256E-07,3.68164,5.33962,3.87468
165,0.787047625,4.16887E-06,5.02889E-06,5.31644E-06,0.166667,2.51256E-07,2.76535,3.33583,3.52657
166,0.797006125,5.0231E-06,5.85715E-06,5.72422E-06,0.166667,2.51256E-07,3.33199,3.88524,3.79706
167,0.797634375,4.82742E-06,5.48926E-06,5.81174E-06,0.166667,2.51256E-07,3.20219,3.64121,3.85512
168,0.805086875000001,5.1449E-06,6.05874E-06,6.04037E-06,0.166667,2.51256E-07,3.41278,4.01897,4.00678
169,0.805386375000001,5.1992E-06,5.63245E-06,6.30616E-06,0.166667,2.51256E-07,3.4488,3.73619,4.18309
170,0.7997775,4.47381E-06,4.25845E-06,6.58957E-06,0.166667,2.51256E-07,2.96762,2.82477,4.37108
171,0.801927875,4.75892E-06,5.13348E-06,7.38386E-06,0.166667,2.51256E-07,3.15675,3.40521,4.89796
172,0.799838000000001,4.73611E-06,5.72621E-06,6.12045E-06,0.166667,2.51256E-07,3.14162,3.79839,4.0599
173,0.796665749999999,4.49646E-06,5.35155E-06,6.02492E-06,0.166667,2.51256E-07,2.98265,3.54986,3.99653
174,0.805091624999999,5.26909E-06,7.38988E-06,7.40892E-06,0.166667,2.51256E-07,3.49517,4.90196,4.91458
175,0.80445675,5.84901E-06,7.88689E-06,6.26081E-06,0.166667,2.51256E-07,3.87985,5.23164,4.153
176,0.7794045,3.98359E-06,4.67539E-06,4.80714E-06,0.166667,2.51256E-07,2.64245,3.10134,3.18874
177,0.798472250000001,5.2031E-06,5.98823E-06,5.70484E-06,0.166667,2.51256E-07,3.45139,3.9722,3.78421
178,0.785292375,5.22325E-06,5.01008E-06,5.268E-06,0.166667,2.51256E-07,3.46476,3.32335,3.49444
179,0.7899425,4.89165E-06,4.8774E-06,6.11469E-06,0.166667,2.51256E-07,3.24479,3.23534,4.05608
180,0.797369125,5.01448E-06,5.05131E-06,6.21195E-06,0.166667,2.51256E-07,3.32627,3.3507,4.12059
181,0.79679075,4.50154E-06,4.93284E-06,6.80869E-06,0.166667,2.51256E-07,2.98602,3.27212,4.51643
182,0.799979875,4.91505E-06,6.24547E-06,7.37012E-06,0.166667,2.51256E-07,3.26032,4.14283,4.88885
183,0.79914075,5.45579E-06,6.22772E-06,6.8125E-06,0.166667,2.51256E-07,3.61901,4.13106,4.51896
184,0.797263,5.62253E-06,5.45778E-06,6.02149E-06,0.166667,2.51256E-07,3.72961,3.62033,3.99425
185,0.79377375,5.05981E-06,5.08184E-06,6.07421E-06,0.166667,2.51256E-07,3.35634,3.37095,4.02922
186,0.7913255,4.94922E-06,5.39024E-06,5.59459E-06,0.166667,2.51256E-07,3.28298,3.57552,3.71108
187,0.773126500000001,4.25311E-06,4.46009E-06,4.32029E-06,0.166667,2.51256E-07,2.82123,2.95853,2.86579
188,0.791054375,4.92551E-06,5.62446E-06,5.60177E-06,0.166667,2.51256E-07,3.26725,3.73089,3.71584
189,0.791801250000001,5.60779E-06,6.09485E-06,5.91363E-06,0.166667,2.51256E-07,3.71984,4.04292,3.92271
190,0.79530575,5.25575E-06,5.75991E-06,6.46978E-06,0.166667,2.51256E-07,3.48631,3.82074,4.29162
191,0.79727925,5.43319E-06,5.24041E-06,6.36342E-06,0.166667,2.51256E-07,3.60402,3.47614,4.22107
192,0.796217,5.21089E-06,4.9218E-06,6.20933E-06,0.166667,2.51256E-07,3.45655,3.2648,4.11885
193,0.79955,5.4007E-06,5.67643E-06,6.90569E-06,0.166667,2.51256E-07,3.58246,3.76537,4.58078
194,0.797760375000001,6.03509E-06,5.77173E-06,6.96189E-06,0.166667,2.51256E-07,4.00327,3.82858,4.61805
195,0.803505,6.86481E-06,6.31106E-06,7.15014E-06,0.166667,2.51256E-07,4.55366,4.18634,4.74293
196,0.798283,6.4837E-06,5.91746E-06,6.66804E-06,0.166667,2.51256E-07,4.30086,3.92525,4.42313
197,0.794483625,5.51544E-06,6.09495E-06,5.81078E-06,0.166667,2.51256E-07,3.65857,4.04298,3.85448
198,0.755451125,2.21314E-06,2.42054E-06,2.26487E-06,0.166667,2.51256E-07,1.46805,1.60563,1.50237
199,0.757882999999999,2.28443E-06,2.51326E-06,2.22611E-06,0.166667,2.51256E-07,1.51534,1.66713,1.47665
200,0.779223375,2.58521E-06,2.67021E-06,2.61901E-06,0.166667,2.51256E-07,1.71486,1.77124,1.73728
201,0.7836875,2.73328E-06,2.85279E-06,2.75715E-06,0.166667,2.51256E-07,1.81308,1.89235,1.82891
202,0.785123,2.80337E-06,2.8966E-06,2.84588E-06,0.166667,2.51256E-07,1.85957,1.92141,1.88777
203,0.784992624999999,2.79405E-06,2.95592E-06,2.87363E-06,0.166667,2.51256E-07,1.85339,1.96076,1.90618
204,0.78412425,2.81664E-06,2.91402E-06,2.79432E-06,0.166667,2.51256E-07,1.86837,1.93297,1.85357
205,0.781596750000001,2.73137E-06,2.81204E-06,2.67477E-06,0.166667,2.51256E-07,1.81181,1.86532,1.77427
206,0.76991175,2.42377E-06,2.74841E-06,2.47972E-06,0.166667,2.51256E-07,1.60777,1.82311,1.64488
207,0.777210625,2.53498E-06,2.75423E-06,2.61974E-06,0.166667,2.51256E-07,1.68154,1.82697,1.73776
208,0.7813675,2.66819E-06,2.71241E-06,2.8026E-06,0.166667,2.51256E-07,1.7699,1.79923,1.85906
209,0.763301125,2.28499E-06,2.44023E-06,2.30024E-06,0.166667,2.51256E-07,1.51571,1.61869,1.52582
210,0.78547,2.79096E-06,2.86792E-06,2.96003E-06,0.166667,2.51256E-07,1.85134,1.90239,1.96349
211,0.787572125,2.85265E-06,2.95578E-06,2.9343E-06,0.166667,2.51256E-07,1.89226,1.96067,1.94642
212,0.7885635,2.88268E-06,2.98855E-06,2.87835E-06,0.166667,2.51256E-07,1.91218,1.98241,1.90931
213,0.788021,2.90346E-06,2.96536E-06,2.79918E-06,0.166667,2.51256E-07,1.92596,1.96702,1.85679
214,0.78073575,2.68835E-06,2.78929E-06,2.58844E-06,0.166667,2.51256E-07,1.78327,1.85023,1.717
215,0.771190375,2.393E-06,2.70561E-06,2.54303E-06,0.166667,2.51256E-07,1.58735,1.79472,1.68688
216,0.77832575,2.56226E-06,2.7926E-06,2.72662E-06,0.166667,2.51256E-07,1.69963,1.85242,1.80866
217,0.7854365,2.86603E-06,2.98459E-06,3.13134E-06,0.166667,2.51256E-07,1.90113,1.97978,2.07712
218,0.789277125,2.94352E-06,3.13907E-06,3.28893E-06,0.166667,2.51256E-07,1.95254,2.08225,2.18165
219,0.767853125,2.4165E-06,2.48162E-06,2.4414E-06,0.166667,2.51256E-07,1.60295,1.64614,1.61946
220,0.7902405,2.90969E-06,3.16314E-06,3.06431E-06,0.166667,2.51256E-07,1.93009,2.09822,2.03266
221,0.791961125,2.92321E-06,3.22031E-06,2.99443E-06,0.166667,2.51256E-07,1.93906,2.13614,1.98631
222,0.792720375,3.01732E-06,3.29785E-06,3.0177E-06,0.166667,2.51256E-07,2.00149,2.18757,2.00174
223,0.784292125,2.78649E-06,3.01739E-06,2.67611E-06,0.166667,2.51256E-07,1.84837,2.00153,1.77515
224,0.770768125,2.40776E-06,2.61979E-06,2.51641E-06,0.166667,2.51256E-07,1.59715,1.73779,1.66922
225,0.777971875,2.59976E-06,2.8074E-06,2.71319E-06,0.166667,2.51256E-07,1.72451,1.86224,1.79975
226,0.784307249999999,2.91703E-06,3.00746E-06,3.0597E-06,0.166667,2.51256E-07,1.93497,1.99495,2.0296
227,0.786307625,2.91271E-06,3.04898E-06,3.1697E-06,0.166667,2.51256E-07,1.9321,2.02249,2.10257
228,0.785975625,2.8489E-06,3.02763E-06,2.9597E-06,0.166667,2.51256E-07,1.88977,2.00833,1.96327
229,0.768653875,2.47665E-06,2.4705E-06,2.46643E-06,0.166667,2.51256E-07,1.64285,1.63876,1.63607
